Language,ID,L1,L2,EnglishL2,English_MP,Dialect,Sex,Age,Meaning,Team,UniqueItem,Rep,Choice,ACC,Name,ISO639.3,Script,Genus,Autotyp_Area,Continent,Longitude,Latitude,Family,category,subcategory,Animacy
CN,CN_2091068,chinese,NA,NA,NA,hubei,F,36,eat,IL,IL_eat.wav,1,eat,1,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,action,action,animate
CN,CN_2091465,chinese,NA,NA,NA,hunan,F,35,hide,IL,IL_hide.wav,4,dull,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,action,action,animate
CN,CN_2091822,chinese,NA,NA,NA,NA,F,44,man,BW,BW_man.wav,3,this,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,people,animate
CN,CN_2092617,chinese,NA,NA,NA,NA,F,39,big,MS,MS_big.wav,1,dull,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,property,adjective,animate
CN,CN_2092884,chinese,NA,NA,NA,NA,M,44,fruit,GB,GB_fruit.wav,5,cook,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,inanimate,inanimate
CN,CN_2092990,chinese,NA,NA,NA,NA,M,45,knife,KD,KD_knife.wav,27,cut,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,inanimate,inanimate
CN,CN_2093224,chinese,NA,NA,NA,NA,F,47,man,BW,BW_man.wav,3,man,1,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,people,animate
CN,CN_2094865,chinese,NA,NA,NA,NA,F,45,fruit,KD,KD_fruit.wav,2,fruit,1,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,inanimate,inanimate
CN,CN_2095358,chinese,NA,NA,NA,hubei,F,44,water,KD,KD_water.wav,4,water,1,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,inanimate,inanimate
CN,CN_2095401,chinese,NA,NA,NA,NA,M,46,snake,SU,SU_snake.wav,6,cut,0,Chinese,cmn,different,Sino-Tibetan,Southeast Asia,S/SE Asia,110,35,other,noun,animal,animate
DK,DK_2142882,danish,NA,NA,NA,NA,F,29,cut,KR,KR_cut.wav,2,cut,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,action,action,animate
DK,DK_2143723,danish,NA,NA,NA,NA,M,22,fruit,KD,KD_fruit.wav,3,fruit,1,Danish,dan,roman,IE,Europe,W and SW Eurasia,10,56,IE,noun,inanimate,inanimate
FA,FA_2086501,farsi,NA,NA,NA,NA,F,48,this,NC,NC_this.wav,2,water,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,demonstrative,animate
FA,FA_2103865,farsi,NA,NA,NA,bakhtiari,M,31,one,NC,NC_one.wav,16,clapping,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,quantifier,animate
FA,FA_2152327,farsi,NA,NA,NA,NA,M,21,this,IL,IL_this.wav,4,man,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,property,demonstrative,animate
FR,FR_2098592,french,NA,NA,NA,NA,M,69,big,MS,MS_big.wav,3,sleep,0,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,property,adjective,animate
FR,FR_2098910,french,NA,NA,NA,NA,M,70,child,GB,GB_child.wav,3,this,0,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,noun,people,animate
FR,FR_2099016,french,NA,NA,NA,NA,F,33,one,NC,NC_one.wav,9,one,1,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,property,quantifier,animate
FR,FR_2103186,french,NA,NA,NA,NA,F,31,tiger,KR,KR_tiger.wav,3,tiger,1,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,noun,animal,animate
FR,FR_2106696,french,NA,NA,NA,NA,M,50,hunt,IL,IL_hunt.wav,3,hunt,1,French,fra,roman,IE,Europe,W and SW Eurasia,25,62,IE,action,action,animate
DE,DE_2006992,german,NA,NA,NA,NA,F,28,cook,KD,KD_cook.wav,3,rock,0,German,deu,roman,IE,Europe,W and SW Eurasia,10,52,IE,action,action,animate
HU,HU_2114319,hungarian,NA,NA,NA,NA,F,66,one,BW,BW_one.wav,8,eat,0,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,property,quantifier,animate
HU,HU_2115135,hungarian,NA,NA,NA,NA,F,48,pound,KR,KR_pound.wav,3,pound,1,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,action,action,animate
HU,HU_2115509,hungarian,NA,NA,NA,NA,F,30,woman,KR,KR_woman.wav,3,cook,0,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,noun,people,animate
HU,HU_2116335,hungarian,NA,NA,NA,NA,F,56,meat,BW,BW_meat.wav,2,eat,0,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,noun,inanimate,inanimate
HU,HU_2117472,hungarian,NA,NA,NA,NA,F,57,man,KD,KD_man.wav,4,bad,0,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,noun,people,animate
HU,HU_2118967,hungarian,NA,NA,NA,NA,F,56,meat,KR,KR_meat.wav,8,meat,1,Hungarian,hun,roman,Finno-Ugric,Europe,W and SW Eurasia,20,47,other,noun,inanimate,inanimate
