ID,Modality,Match,Language
DE01,Ort,NA,DE
DE02,Ort,NA,DE
DE03,Ort,NA,DE
DE04,Ort,NA,DE
DE05,Ort,NA,DE
DE06,Ort,1,DE
DE07,Ort,1,DE
DE08,Ort,1,DE
DE09,Ort,1,DE
DE10,Ort,1,DE
DE11,Ort,1,DE
DE12,Ort,1,DE
DE13,Ort,1,DE
DE14,Ort,1,DE
DE15,Ort,1,DE
DE16,Ort,1,DE
DE17,Ort,1,DE
DE18,Ort,1,DE
DE19,Ort,1,DE
DE20,Ort,1,DE
SR01,Ort,1,SR
SR02,Ort,0,SR
SR03,Ort,1,SR
SR04,Ort,1,SR
SR05,Ort,0,SR
SR06,Ort,1,SR
SR07,Ort,1,SR
SR08,Ort,1,SR
SR09,Ort,1,SR
SR10,Ort,1,SR
SR11,Ort,1,SR
SR12,Ort,0,SR
SR13,Ort,0,SR
SR14,Ort,1,SR
SR15,Ort,1,SR
VA01,Ort,NA,VA
VA02,Ort,NA,VA
VA03,Ort,NA,VA
VA04,Ort,NA,VA
VA05,Ort,NA,VA
VA06,Ort,NA,VA
VA07,Ort,NA,VA
VA08,Ort,NA,VA
VA09,Ort,NA,VA
VA10,Ort,NA,VA
VA11,Ort,NA,VA
VA12,Ort,NA,VA
BE01,Ort,1,BE
BE02,Ort,1,BE
BE03,Ort,1,BE
BE04,Ort,1,BE
BE05,Ort,1,BE
BE06,Ort,1,BE
BE07,Ort,0,BE
BE08,Ort,0,BE
BE09,Ort,1,BE
BE10,Ort,1,BE
BE11,Ort,1,BE
BE12,Ort,1,BE
BE13,Ort,1,BE
BE14,Ort,1,BE
BE15,Ort,1,BE
BE16,Ort,1,BE
BE17,Ort,1,BE
BE18,Ort,1,BE
BE19,Ort,1,BE
BE20,Ort,1,BE
BE21,Ort,1,BE
BE22,Ort,1,BE
BE23,Ort,1,BE
BE24,Ort,1,BE
BE25,Ort,1,BE
BE26,Ort,1,BE
BE27,Ort,1,BE
BE28,Ort,1,BE
BE29,Ort,1,BE
BE30,Ort,1,BE
BE31,Ort,1,BE
BE32,Ort,1,BE
BE33,Ort,1,BE
BE34,Ort,1,BE
BE35,Ort,1,BE
BE36,Ort,1,BE
BE37,Ort,1,BE
BE38,Ort,1,BE
BE39,Ort,1,BE
BE40,Ort,1,BE
BE41,Ort,1,BE
BE42,Ort,0,BE
BE43,Ort,1,BE
BE44,Ort,1,BE
BE45,Ort,1,BE
BE46,Ort,1,BE
BE47,Ort,1,BE
BE48,Ort,1,BE
BE49,Ort,1,BE
BE50,Ort,0,BE
BE51,Ort,1,BE
BE52,Ort,1,BE
BE53,Ort,1,BE
BE54,Ort,1,BE
BE55,Ort,1,BE
BE56,Ort,1,BE
BR01,Ort,1,BR
BR02,Ort,1,BR
BR03,Ort,1,BR
BR04,Ort,1,BR
BR05,Ort,1,BR
BR06,Ort,1,BR
BR07,Ort,1,BR
BR08,Ort,1,BR
BR09,Ort,1,BR
BR10,Ort,NA,BR
BR11,Ort,0,BR
BR12,Ort,1,BR
BR13,Ort,1,BR
BR14,Ort,0,BR
BR15,Ort,1,BR
BR16,Ort,1,BR
BR17,Ort,1,BR
BR18,Ort,1,BR
BR19,Ort,1,BR
BR20,Ort,1,BR
PA01,Ort,1,PA
PA02,Ort,1,PA
PA03,Ort,0,PA
PA04,Ort,1,PA
PA05,Ort,1,PA
PA06,Ort,1,PA
PA07,Ort,1,PA
PA08,Ort,0,PA
DE01,Aud,0,DE
DE02,Aud,0,DE
DE03,Aud,0,DE
DE04,Aud,0,DE
DE05,Aud,0,DE
DE06,Aud,1,DE
DE07,Aud,1,DE
DE08,Aud,1,DE
DE09,Aud,1,DE
DE10,Aud,1,DE
DE11,Aud,1,DE
DE12,Aud,1,DE
DE13,Aud,1,DE
DE14,Aud,1,DE
DE15,Aud,1,DE
DE16,Aud,1,DE
DE17,Aud,1,DE
DE18,Aud,1,DE
DE19,Aud,1,DE
DE20,Aud,1,DE
SR01,Aud,1,SR
SR02,Aud,1,SR
SR03,Aud,1,SR
SR04,Aud,1,SR
SR05,Aud,0,SR
SR06,Aud,1,SR
SR07,Aud,1,SR
SR08,Aud,1,SR
SR09,Aud,1,SR
SR10,Aud,0,SR
SR11,Aud,1,SR
SR12,Aud,0,SR
SR13,Aud,1,SR
SR14,Aud,0,SR
SR15,Aud,1,SR
VA01,Aud,1,VA
VA02,Aud,1,VA
VA03,Aud,1,VA
VA04,Aud,1,VA
VA05,Aud,1,VA
VA06,Aud,1,VA
VA07,Aud,1,VA
VA08,Aud,0,VA
VA09,Aud,1,VA
VA10,Aud,0,VA
VA11,Aud,1,VA
VA12,Aud,1,VA
BE01,Aud,1,BE
BE02,Aud,1,BE
BE03,Aud,1,BE
BE04,Aud,1,BE
BE05,Aud,1,BE
BE06,Aud,1,BE
BE07,Aud,1,BE
BE08,Aud,1,BE
BE09,Aud,1,BE
BE10,Aud,1,BE
BE11,Aud,1,BE
BE12,Aud,1,BE
BE13,Aud,1,BE
BE14,Aud,1,BE
BE15,Aud,1,BE
