ID,Match,Language,Name,Script,Family,Autotyp_Area
AL_2110262,1,AL,Albanian,roman,IE,Europe
AL_2137891,1,AL,Albanian,roman,IE,Europe
AL_2142091,1,AL,Albanian,roman,IE,Europe
AL_2142743,0,AL,Albanian,roman,IE,Europe
AL_2144707,1,AL,Albanian,roman,IE,Europe
AL_2145197,0,AL,Albanian,roman,IE,Europe
AL_2200030,0,AL,Albanian,roman,IE,Europe
AL_2200491,0,AL,Albanian,roman,IE,Europe
AL_2200597,0,AL,Albanian,roman,IE,Europe
AL_2201480,1,AL,Albanian,roman,IE,Europe
AM_2085826,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2086395,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2089819,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2090125,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2090231,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2110154,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2113553,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2124652,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2126284,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2129759,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2130356,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2131367,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2131473,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2131488,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2131538,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2131978,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2132050,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2132352,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2132489,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2135059,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2135205,0,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2135351,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
AM_2135714,1,AM,Amharic,different,Afro-Asiatic,Greater Abyssinia
CN_2085682,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2090343,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2090516,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2090559,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2090893,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091068,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091116,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091224,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091379,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091417,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091465,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091749,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2091822,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092002,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092150,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092280,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092469,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092617,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092884,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2092990,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2093102,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2093540,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2093752,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2093858,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2093964,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094119,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094225,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094331,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094333,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094542,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2094865,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2095104,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2095358,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2095401,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096079,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096196,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096588,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096696,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096717,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096896,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096947,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2096959,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2097226,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2097291,1,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2097511,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
CN_2099532,0,CN,Chinese,different,Sino-Tibetan,Southeast Asia
DE_2001960,1,DE,German,roman,IE,Europe
DE_2002066,1,DE,German,roman,IE,Europe
DE_2002181,1,DE,German,roman,IE,Europe
